tweet_id,text,created_at,retweet_count,like_count,fact_check
1847785912245375127,"Mandarins help with fatigue recovery, boost immunity, and improve stomach function. For cancer prevention, try ""mandarin and carrot juice."" For bloating, the combination of ""grated daikon radish with dried mandarin peel"" enhances the effect.",2024-10-19T23:44:26+00:00,0,0,True
1847765975158182153,@Lea_Christina4 @Conservative_BC @gwenomahony @JohnRustad4BC @timthielmann @elenoresturko @Mike4Langford #alcoholawareness Recovery and sobriety! Thank you April for supporting #alcoholawareness and for caring for our women's health and breast cancer prevention-Alcohol cause's cancer! Saving Live's! The entire BC Government need's to make this a top priority! ❤️,2024-10-19T22:25:12+00:00,0,0,True
1847756256326668469,Selenium Benefits: A Unique Trace Mineral That Provides Powerful Cancer Prevention https://t.co/sDggbiJKNP,2024-10-19T21:46:35+00:00,0,0,False
1847711305030930769,"RT @CDC_Cancer: Some #cancers can be prevented, and you can lower your risk for many others. Screening, vaccines, and making healthy choice…",2024-10-19T18:47:58+00:00,4,0,True
1847707501237506242,"RT @JayrajAarthi: Preventing cancer with one injection is like a fairy tale coming true! 
HPV vaccination is cancer prevention! 

#HPV #Cer…",2024-10-19T18:32:51+00:00,7,0,True
1847702580060999704,"RT @CDC_Cancer: Some #cancers can be prevented, and you can lower your risk for many others. Screening, vaccines, and making healthy choice…",2024-10-19T18:13:18+00:00,4,0,True
1847700994160795673,"The best protection is early detection!  🩷 #ParadiseVillage reminds you that a healthy, active lifestyle is one of the greatest means of cancer prevention. 

#BreastCancerAwareness https://t.co/LHM1mVOah1",2024-10-19T18:07:00+00:00,0,1,True
1847699404960018882,"Early detection is your best defense! In honor of National Mammography Day, we'd like to remind you to schedule your annual mammogram if you haven't already this year. #BreastCancerAwarenessMonth #Mammogram #BustTheMyth https://t.co/0cW8Ehzo0H",2024-10-19T18:00:41+00:00,0,0,True
1847697082443776157,@RealAlexJones Big Pharma has worked tirelessly to suppress any and all result of ivermectin on cancer cause they can’t make trillions off it anymore.  But the more this comes out that ivermectin IS the cure I’m sure big pharma will find a way to reign in ivermectin production and jack the… https://t.co/LAsTpLIsih,2024-10-19T17:51:27+00:00,6,24,False
1847695276531659170,"RT @CDC_Cancer: Some #cancers can be prevented, and you can lower your risk for many others. Screening, vaccines, and making healthy choice…",2024-10-19T17:44:17+00:00,4,0,True
1847694666126278898,"RT @JayrajAarthi: Preventing cancer with one injection is like a fairy tale coming true! 
HPV vaccination is cancer prevention! 

#HPV #Cer…",2024-10-19T17:41:51+00:00,7,0,True
1847693969867567425,"Some #cancers can be prevented, and you can lower your risk for many others. Screening, vaccines, and making healthy choices can all play a role. Learn what you can do: https://t.co/M06zOErlDg https://t.co/TvNXrWieIj",2024-10-19T17:39:05+00:00,4,9,True
1847686785910132759,Nobody is dumb to why everyone is dying of cancer nowadays. So much cancer research is a scam because cancer prevention is being ignored. 7 billion spent in 2023 https://t.co/PtWxLu8liF,2024-10-19T17:10:32+00:00,0,0,False
1847677973316370466,"@toobaffled Stupidity at its finest 
Cancer prevention is better than going through chemotherapy// and I give chemotherapy for a living.
Prevention is usually the best treatment for most conditions",2024-10-19T16:35:31+00:00,0,0,True
1847676584670720130,We commemorate the month of October in the fight against breast cancer. Prevention and early detection make the difference for a healthy life. https://t.co/EnZ6BaF8YX,2024-10-19T16:30:00+00:00,0,0,True
1847666141927223801,"RT @DKAstrology: ‼️Ladies this is your reminder to take your multivitamins consistently, and take vitamin D for cancer prevention daily.

P…",2024-10-19T15:48:30+00:00,12,0,False
1847650640430010375,"@mtgreenee what about you shut your dumbass up making up lies! Cancer cause by dumbass lawmakers like you passing FDA regulations for businesses who sell cheap products and ingredients to the US consumers! Meats, cereal, snacks, but, Republicans tell Americans inject bleach? Okay",2024-10-19T14:46:55+00:00,0,0,False
1847643553612075341,"@hyderabaddoctor I'd also add that access to quality healthcare and early detection play a significant role in recovery outcomes. As a researcher in cancer prevention, I've seen firsthand how a holistic approach can impact patient recovery.",2024-10-19T14:18:45+00:00,0,1,True
1847625331990999462,"RT @DKAstrology: ‼️Ladies this is your reminder to take your multivitamins consistently, and take vitamin D for cancer prevention daily.

P…",2024-10-19T13:06:21+00:00,12,0,False
